S.no.,Start Date,Bookeeper Start Date,Estimated Days,Output Date,TAT,Urgent,Month,Client Reference,Responsible User,File Name,Company No.,Company UTR,File Source,Status,File Allocated to,Bookeeper,Reviewer,File Type,Period,Accountancy Fees,CS Fee,Company closure fess,Payroll Fees,PAYE Registration Fees,Company Strike off fees,Company compliances(Dormant)+Registered Office,Personal Tax fees,Adding SIC Code fees,Incorporation Fee,Adding director Fee,SA Fee,VAT Registration,Business plan,Total Fee,Work Done,No. of Bank Accounts,Bank Transactions,Bank Transactions,Bank Transactions,Bank Transactions,Bank Transactions,Bank Transactions,Total Bank entries,No. of transactions (others),Total entries,Preparing Sales list,No. of sale invoices,No. of PINs ,No. of Wages,Bank received in,PINs given start date,PINs given done date,Time Taken( hrs),Notes,Fees
1,01 April 2025,01 April 2025,,23 June 2025,83,,04/2025,,Darshana,Haidl Ltd,13907842,9731923614,Task Sheet,Under Review- India,Anamika,Anamika,,QB,01/03/2023 - 28/02/2024,2145.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.60,Year End Accounts,7,145,50,19,157,68,53,492,,,,,37,,,,,Query send to ca for bank statment ,,
2,01 April 2025,01 April 2025,1,02 April 2025,1,,04/2025,,Darshana,Mab Darogan Ltd.,13169676,5610728431,Task Sheet,Completed,Raghav,Raghav,,QB,01/03/2023 - 28/02/2024,1533.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.60,Year End Accounts,1,75,0,0,0,0,0,75,,75,,,,1,,,,,,
3,01 April 2025,03 April 2025,3,07 April 2025,6,,04/2025,C122/ANK/SC,Silan,Clockwork Sap Consultancy Limited,11245682,8855821993,Allocation group,Completed,Pawan,Pawan,,VT,01/01/2024 - 31/12/2024,780.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.00,Year End Accounts,2,158,46,0,0,0,0,204,97,301,Prepared sales list,12,73,12,CSV,,,,,
4,01 April 2025,03 April 2025,2,09 April 2025,8,,04/2025,K107/ANK/SC,Silan,Koff Limited,11954119,9535926305,Allocation group,Completed,Pawan,Vishal,Pawan,VT,01/03/2024 - 28/02/2025,780.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.00,Year End Accounts,1,104,0,0,0,0,0,104,75,179,Prepared sales list,8,55,12,CSV,,,,,
5,01 April 2025,02 April 2025,1,03 April 2025,2,,04/2025,B110/NS/GD,Gamze,Be Torque Engineering Limited,11627110,2411909836,Allocation group,Under Review- UK,Momin,Momin,,VT,01/02/2024 - 31/01/2025,600.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.00,Year End Accounts,2,68,8,0,0,0,0,76,38,114,0,0,35,3,CSV,,,,,
6,01 April 2025,05 April 2025,2,08 April 2025,7,,04/2025,N040/NS/GD,Gamze,Euphoria Coaching Ltd,11100029,1817621173,Allocation group,Under Review- UK,Momin,Vishal,,VT,01/03/2024 - 28/02/2025,720.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.00,Year End Accounts,1,147,0,0,0,0,0,147,108,255,Prepared sales list,64,32,12,CSV,,,,,
7,03 April 2025,03 April 2025,,04 April 2025,1,,04/2025,L011/NS/MG,Melis,Lime Lab IT Limited,09334273,6081219479,Allocation group,Completed,Sahil,Sahil,,VT,01/12/2024 - 28/02/2025,375.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.00,"VAT (Wages, Expenses, Incomes)",0,0,0,0,0,0,0,0,29,29,No Sales,0,26,3,,,,,,
8,04 April 2025,04 April 2025,0.5,07 April 2025,3,,04/2025,,Jaleh,Springfield Richmond Pharmacy Ltd,6305132,,CA-Mail,Completed,Raghav,Raghav,,Sage,01/03/2025 - 31/03/2025,Not found (Jaleh's client),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Invoice recording,0,0,0,0,0,0,0,0,,0,,,27,,,,,,,
9,04 April 2025,04 April 2025,,04 April 2025,0,,04/2025,,Darshana,Joanz Business Solutions Ltd,14016071,7400717940,Task Sheet,Completed,Anamika,Anamika,,VT,01/4/2023 -31/03/2024,1075.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.80,Year End Accounts,1,1,0,0,0,0,0,1,,,,,12,,PDF,,,,,
10,04 April 2025,04 April 2025,,05 April 2025,1,,04/2025,,Darshana,Gadgetzlover.com Ltd,12545531,6415812012,Task Sheet,Completed,Anamika,Anamika,,VT,01/05/2024 - 31/03/2025,360.00,0.0,300.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.80,Year End Accounts,1,26,0,0,0,0,0,26,,,,,,,PDF,,,,,
11,04 April 2025,07 April 2025,1,07 April 2025,3,Yes,04/2025,A215/ANK/HK,Hilal,A14R Limited,13168493,1704113573,"Allocation group, India Client",Completed,Pawan,Pawan,,QF,01/10/2024 - 31/03/2025,240.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.00,Management accounts,3,55,13,3,0,0,0,71,29,100,-,8,15,6,PDF,,,,,
12,04 April 2025,8 April 2025,2,10 April 2025,6,,04/2025,B154/ANK/HK,Hilal,Beloved Care Center Limited,13238545,6681926039,"Allocation group, India Client",Completed,Pawan,Vishal,Pawan,QF,01/02/2024 - 31/01/2025,840.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.00,Year End Accounts,1,178,0,0,0,0,0,178,57,235,-,20,25,12,CSV,,,,,
13,05 April 2025,07 April 2025,1,08 April 2025,3,Yes,04/2025,C092/NS/BB,Burcin,Core Business Development Limited,10631627,5568300648,"Allocation group, India Client",Under Review- UK,Momin,Vishal,Momin,VT,01/08/2023 - 31/07/2024,720.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.00,Year End Accounts,-,-,-,-,-,-,-,0,99,99,Prepared sales list,54,33,12,,,,,,
14,07 April 2025,07 April 2025,,08 April 2025,1,,04/2025,A261/ANK/BB,Burcin,Autosarj UK Limited,15762010,9661914038,Google Chats,Completed,Sahil,Sahil,,VT,05/06/2024 - 31/03/2025,840.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.00,Year End Accounts,0,0,0,0,0,0,0,0,33,33,Prepared sales list,18,5,10,,,,,,
